,prob_s,comp_factor,Intervention strategy,name,q_y,q_a,q_o,q_ya,q_ao,q_yo,color,R0,si_eff
38,1,0.06,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.9173113533370232,0.06000000000000005
39,1,0.06,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.4913868793874068,0.06000000000000005
40,1,0.06,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.0979718507499037,0.06000000000000005
41,1,0.06,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,2.073785153846785,0.06000000000000005
42,1,0.07,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,2.1390000000000047,0.07000000000000006
43,1,0.07,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,2.055752546826705,0.07000000000000006
44,1,0.07,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.8969144240462041,0.07000000000000006
45,1,0.07,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.4755210615215837,0.07000000000000006
46,1,0.07,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.086291299146183,0.07000000000000006
47,1,0.07,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,2.0517236096569227,0.07000000000000006
48,1,0.08,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,2.116000000000005,0.07999999999999996
49,1,0.08,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,2.033647680731793,0.07999999999999996
50,1,0.08,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.8765174947553853,0.07999999999999996
